#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-109.93539941997794	-98.92360992671318	-11.011789493264754	-98.92360992671318	4.519977975365664	-11.011789493264754	1.0
1000	-65.19326831494571	-67.73771197571773	2.544443660772014	-67.73771197571773	0.1233020175220271	2.544443660772014	3.504654158531844
2000	-66.85611423000502	-69.14966841621579	2.2935541862107676	-69.14966841621579	0.21692134061219562	2.2935541862107676	4.878929123658673
3000	-69.55211085496435	-69.97006252814109	0.4179516731767279	-69.97006252814109	0.2735790581148491	0.4179516731767279	3.607081332863812
4000	-66.59837176751742	-67.03387323297281	0.4355014654553875	-67.03387323297281	0.21134440748476288	0.4355014654553875	1.589356163726975
5000	-66.8294737252981	-67.81375110976279	0.9842773844646923	-67.81375110976279	0.2013729360330461	0.9842773844646923	1.9381711590390531
6000	-67.66180336926425	-67.73551320512426	0.07370983586002167	-67.73551320512426	0.21461250768379836	0.07370983586002167	1.4056518950534402
7000	-67.01496261502587	-69.12251814706853	2.1075555320426735	-69.12251814706853	0.17261820766673133	2.1075555320426735	4.218033088724212
8000	-68.20893956850568	-69.37841375747297	1.1694741889672835	-69.37841375747297	0.2264814567019022	1.1694741889672835	3.660545146982381
9000	-65.1476719315115	-68.89938554482816	3.7517136133166744	-68.89938554482816	0.1258253170380046	3.7517136133166744	8.717155003448598
10000	-66.69270510312889	-68.33886912798484	1.6461640248559544	-68.33886912798484	0.1528538642781094	1.6461640248559544	9.145568830116424
11000	-66.71350609124028	-71.1173701309357	4.403864039695425	-71.1173701309357	0.06372180581433624	4.403864039695425	7.619747739957536
12000	-65.16333877661683	-67.0579577144184	1.894618937801562	-67.0579577144184	0.20645894644502952	1.894618937801562	4.685631198214244
