#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-99.26034893138	-95.22614119357526	-4.034207737804741	-95.22614119357526	1.8206501479744113	-4.034207737804741	0.9233328220205804
1000	-68.77929193439174	-70.82476495117069	2.0454730167789563	-70.82476495117069	0.1661256081485539	2.0454730167789563	6.483093796016883
2000	-66.37130153063842	-67.39077650519545	1.0194749745570206	-67.39077650519545	0.21482273810831595	1.0194749745570206	2.1588617978521447
3000	-68.61609644418505	-68.96209025784395	0.3459938136589067	-68.96209025784395	0.35183543284517316	0.3459938136589067	2.5023359187314274
4000	-64.61696141891211	-67.63042928970664	3.0134678707945226	-67.63042928970664	0.12414809069439499	3.0134678707945226	4.765083484190801
5000	-65.53059486397053	-68.30208364674571	2.771488782775175	-68.30208364674571	0.14335282148035722	2.771488782775175	5.395921733716381
6000	-72.04247699394048	-71.37174407135683	-0.6707329225836496	-71.37174407135683	0.32547258598297885	-0.6707329225836496	5.788153127950709
7000	-65.069493211436	-67.26117882449346	2.1916856130574556	-67.26117882449346	0.14416739548031524	2.1916856130574556	3.3762274898599753
8000	-65.64703753097665	-67.77021797701339	2.1231804460367476	-67.77021797701339	0.18883487076798483	2.1231804460367476	6.869224222190682
9000	-65.12572352607306	-67.98262242110115	2.856898895028101	-67.98262242110115	0.14840635348408385	2.856898895028101	9.484646676920864
10000	-64.76658372130271	-68.88128370801475	4.114699986712035	-68.88128370801475	0.08355151861988656	4.114699986712035	12.782844708237457
11000	-68.6099453472865	-69.84802122599011	1.238075878703605	-69.84802122599011	0.2433568696241666	1.238075878703605	3.583712546869275
12000	-66.07253756141745	-68.82389530172132	2.751357740303879	-68.82389530172132	0.13178360857609078	2.751357740303879	4.391273300471974
13000	-65.99794198825009	-67.32138799924854	1.3234460109984507	-67.32138799924854	0.1646344153847239	1.3234460109984507	2.1383872562449606
14000	-65.98099445927078	-69.91379876219362	3.932804302922848	-69.91379876219362	0.07856701578526207	3.932804302922848	17.475011425439757
15000	-65.13313585898428	-68.36268241046523	3.2295465514809507	-68.36268241046523	0.09095841123019387	3.2295465514809507	22.142515579841003
16000	-66.48973431426107	-69.74044053489172	3.250706220630649	-69.74044053489172	0.08875778277283765	3.250706220630649	20.050505399743752
17000	-64.12040635460107	-67.84892625593491	3.7285199013338333	-67.84892625593491	0.11255912829113106	3.7285199013338333	8.754823187356013
18000	-65.11425135644649	-67.9001827205104	2.78593136406392	-67.9001827205104	0.11170874982527225	2.78593136406392	18.909309474103928
19000	-65.08371444509223	-67.02680238123543	1.9430879361431996	-67.02680238123543	0.1658116005223419	1.9430879361431996	8.96827637952464
20000	-64.6911355367814	-69.07320124535059	4.382065708569181	-69.07320124535059	0.09046239117072931	4.382065708569181	11.743971643097083
21000	-71.36334127439602	-68.29696473406331	-3.0663765403327146	-68.29696473406331	0.163715790217127	-3.0663765403327146	23.676476911448574
22000	-64.68208959258232	-68.61471799059953	3.932628398017219	-68.61471799059953	0.09004049825672666	3.932628398017219	15.58365069851464
23000	-64.30189612664795	-67.29013423054738	2.988238103899435	-67.29013423054738	0.13359963637520958	2.988238103899435	5.755551462762873
24000	-66.3140908208569	-68.58653862024444	2.272447799387539	-68.58653862024444	0.1733930443368499	2.272447799387539	7.17799822488645
25000	-64.90055698533457	-68.63945512127114	3.7388981359365605	-68.63945512127114	0.08335297341615168	3.7388981359365605	5.921618996685356
26000	-64.4697184031397	-67.4125350504213	2.9428166472815995	-67.4125350504213	0.129800570132105	2.9428166472815995	9.734037494284292
27000	-64.87138587148269	-67.06832785618703	2.1969419847043397	-67.06832785618703	0.19366401048827617	2.1969419847043397	5.12343319404435
28000	-65.75702452885626	-68.84397024109214	3.086945712235873	-68.84397024109214	0.12152189998160115	3.086945712235873	6.84455152259689
29000	-64.75817418197116	-68.19113907412552	3.4329648921543634	-68.19113907412552	0.11351709085858815	3.4329648921543634	8.899909836202049
30000	-65.0970955784841	-67.61606558508106	2.518970006596959	-67.61606558508106	0.1347742848329336	2.518970006596959	13.834163492653168
31000	-64.81271630304147	-69.21470850325473	4.40199220021325	-69.21470850325473	0.07898391378377152	4.40199220021325	13.107345585204682
32000	-65.34094232057654	-67.62400145317596	2.2830591325994254	-67.62400145317596	0.1599148783639693	2.2830591325994254	3.6008914334073476
33000	-67.51838851387173	-72.09188251184688	4.57349399797515	-72.09188251184688	0.06374156024362237	4.57349399797515	14.799214300321188
34000	-65.45389160345793	-68.18064092198588	2.7267493185279483	-68.18064092198588	0.11346756635461298	2.7267493185279483	11.973681994180051
35000	-66.08231879662571	-67.29423809985278	1.211919303227058	-67.29423809985278	0.24246139123933233	1.211919303227058	2.8533484211438087
36000	-64.84637235436402	-68.056596830696	3.2102244763319776	-68.056596830696	0.10977753647153293	3.2102244763319776	17.478049519607637
37000	-67.39969603279023	-67.36596719516133	-0.03372883762890311	-67.36596719516133	0.24328828387777496	-0.03372883762890311	10.91070035435193
38000	-65.68513781811588	-67.97184326814012	2.2867054500242388	-67.97184326814012	0.1554951094068661	2.2867054500242388	13.106863486668185
39000	-64.2475211830801	-67.33852048293106	3.0909992998509583	-67.33852048293106	0.13340251482299365	3.0909992998509583	7.272264811764774
40000	-65.57639036571634	-67.65613740880885	2.079747043092506	-67.65613740880885	0.19573997562906992	2.079747043092506	4.141913771522329
41000	-67.75375879482286	-67.51695068082745	-0.2368081139954077	-67.51695068082745	0.15840138774719767	-0.2368081139954077	23.057526235695217
42000	-68.10524249377087	-71.74133466371107	3.636092169940195	-71.74133466371107	0.06375440630025654	3.636092169940195	36.463299124538
43000	-65.2171247768137	-67.53650642552951	2.3193816487157988	-67.53650642552951	0.19276927365398078	2.3193816487157988	5.192624186909709
44000	-65.81311244085293	-69.0415088787387	3.228396437885759	-69.0415088787387	0.0973146538195439	3.228396437885759	14.160924060331952
45000	-66.7578080570352	-68.3888171561838	1.6310090991486037	-68.3888171561838	0.1697121934617037	1.6310090991486037	2.912433273829343
46000	-66.59078493374062	-69.0153088214771	2.4245238877364845	-69.0153088214771	0.14998220185499028	2.4245238877364845	9.490168522099264
47000	-67.11633278186285	-71.69166312727995	4.575330345417102	-71.69166312727995	0.058442306800809043	4.575330345417102	30.476535442100943
48000	-66.21137203072908	-67.64263389539212	1.4312618646630482	-67.64263389539212	0.21474153569274237	1.4312618646630482	3.3025412660235975
49000	-65.60454114452179	-67.77429685632119	2.169755711799403	-67.77429685632119	0.18941036774145856	2.169755711799403	8.702277058165109
50000	-69.20213011448337	-69.32956632895949	0.12743621447611408	-69.32956632895949	0.31981370640949947	0.12743621447611408	4.249051558950408
51000	-65.92534170892415	-68.48552134686985	2.560179637945687	-68.48552134686985	0.11630517958570832	2.560179637945687	11.410015934480219
52000	-65.76947651966637	-67.00739380176425	1.2379172820978888	-67.00739380176425	0.20223561856498276	1.2379172820978888	2.348274703690281
53000	-66.69341571650608	-71.95269616620827	5.259280449702185	-71.95269616620827	0.05273232218751134	5.259280449702185	12.745309270676081
54000	-64.25864164989461	-67.97087484752652	3.7122331976319076	-67.97087484752652	0.11304665202080712	3.7122331976319076	11.613272736259535
55000	-65.47327472536242	-67.24704370370107	1.7737689783386466	-67.24704370370107	0.19125713746793727	1.7737689783386466	7.783659469123066
56000	-68.1856512382636	-68.63274855528003	0.44709731701642674	-68.63274855528003	0.1700385960076643	0.44709731701642674	14.72641016575993
57000	-66.521795657495	-68.98968214292061	2.4678864854256037	-68.98968214292061	0.15315939943856485	2.4678864854256037	5.085498848604953
58000	-67.33370870193768	-68.90971171041613	1.5760030084784495	-68.90971171041613	0.19028463056131345	1.5760030084784495	5.391079433117824
59000	-65.43503009528604	-68.85321733448896	3.4181872392029193	-68.85321733448896	0.09607915805028194	3.4181872392029193	6.178662211587309
60000	-67.94301904143202	-69.5845134936899	1.641494452257867	-69.5845134936899	0.255359311943659	1.641494452257867	7.3156663723312585
61000	-67.11276664381631	-68.20375818733748	1.0909915435211763	-68.20375818733748	0.21264857183480548	1.0909915435211763	7.903978752402709
62000	-67.85389349909457	-68.20683751029912	0.3529440112045581	-68.20683751029912	0.11381388794647972	0.3529440112045581	22.634750870740238
63000	-64.78804910496872	-66.94889841957826	2.1608493146095316	-66.94889841957826	0.17932693281722353	2.1608493146095316	5.7768980956388525
64000	-64.42052098838636	-67.30243163285334	2.8819106444669833	-67.30243163285334	0.1262202924864255	2.8819106444669833	4.903170217412177
65000	-64.56306650263215	-67.91947380266627	3.356407300034114	-67.91947380266627	0.11308987002568287	3.356407300034114	8.617245324120429
66000	-65.44037374872424	-67.39711698241489	1.9567432336906503	-67.39711698241489	0.14239959756139928	1.9567432336906503	11.478730537151096
67000	-66.24522446092519	-68.37343158086398	2.1282071199387866	-68.37343158086398	0.1429045648787225	2.1282071199387866	9.22388684769041
68000	-64.85571525992833	-67.42405777861693	2.5683425186886017	-67.42405777861693	0.15154397188101731	2.5683425186886017	6.1344265119111165
69000	-65.09258809376223	-67.25935790690784	2.1667698131456046	-67.25935790690784	0.17673025926594813	2.1667698131456046	4.045406921335662
70000	-67.93438157497653	-68.74989248958073	0.8155109146041983	-68.74989248958073	0.20787477217840053	0.8155109146041983	8.267223579637799
71000	-65.86035029293834	-67.12617003265707	1.2658197397187312	-67.12617003265707	0.14077491154955177	1.2658197397187312	15.988505371643932
72000	-64.54941431793861	-68.8392996567066	4.2898853387679905	-68.8392996567066	0.07976713527417696	4.2898853387679905	14.47332091597575
73000	-66.61830055399179	-67.39220935838941	0.7739088043976201	-67.39220935838941	0.2514625844474778	0.7739088043976201	7.330499255951619
74000	-64.29223011305744	-67.28445269760998	2.992222584552535	-67.28445269760998	0.13036246120185455	2.992222584552535	5.6108678003142645
75000	-65.67783833730256	-69.53258764271405	3.8547493054114836	-69.53258764271405	0.12170642010048685	3.8547493054114836	7.962580099471045
76000	-65.65010080601415	-68.03885521016815	2.388754404153995	-68.03885521016815	0.19474665851634568	2.388754404153995	5.624252260113025
77000	-70.37608059953736	-70.9658311860561	0.5897505865187513	-70.9658311860561	0.30676697116146856	0.5897505865187513	2.802967461989499
78000	-65.67713281160364	-67.5209829723121	1.8438501607084512	-67.5209829723121	0.2222403083649063	1.8438501607084512	6.9910805970287795
79000	-65.2204461342222	-67.16883619333126	1.9483900591090642	-67.16883619333126	0.14749352659410497	1.9483900591090642	2.9446579291692943
80000	-67.92309459697968	-67.970192856343	0.047098259363327344	-67.970192856343	0.2636282152054303	0.047098259363327344	1.4809925172406833
81000	-65.6810332366425	-68.07204202314668	2.391008786504177	-68.07204202314668	0.18848330188232118	2.391008786504177	9.104232288841063
82000	-68.81117664066733	-69.56538486297069	0.7542082223033639	-69.56538486297069	0.2172513245435181	0.7542082223033639	9.120751913696667
83000	-64.86566243192217	-67.22238540973858	2.3567229778164074	-67.22238540973858	0.15852823913157735	2.3567229778164074	5.2906826890978875
84000	-66.58802467140549	-67.37708688230305	0.7890622108975527	-67.37708688230305	0.1897411716635457	0.7890622108975527	1.9312095723620908
85000	-67.87732947250792	-69.32469859399467	1.4473691214867377	-69.32469859399467	0.21775539609235925	1.4473691214867377	3.224911577864595
86000	-64.91542107422569	-67.02193527167495	2.106514197449262	-67.02193527167495	0.1697055837886887	2.106514197449262	7.54367810205793
87000	-65.9964835524846	-68.82345213803738	2.8269685855527715	-68.82345213803738	0.12765632840023577	2.8269685855527715	9.984822411910773
88000	-69.86188102055921	-69.72050236028345	-0.14137866027576163	-69.72050236028345	0.09400196288341776	-0.14137866027576163	29.53336977029038
89000	-65.6988082480389	-68.9462577686067	3.247449520567792	-68.9462577686067	0.101102486870929	3.247449520567792	21.80560479512551
90000	-67.94821814148958	-67.84925389770244	-0.09896424378713498	-67.84925389770244	0.13188089622388188	-0.09896424378713498	22.417136421463066
91000	-66.96442936759209	-68.85722445224373	1.892795084651631	-68.85722445224373	0.1636313031534186	1.892795084651631	7.370414452075373
92000	-64.56420555281692	-67.08154709673394	2.517341543917023	-67.08154709673394	0.16039348745573656	2.517341543917023	5.488476706877444
93000	-68.1204149200115	-74.02821187827179	5.907796958260295	-74.02821187827179	0.0455627818409561	5.907796958260295	32.75421100492119
94000	-65.87212096576212	-67.99933729321972	2.1272163274575964	-67.99933729321972	0.160381540046824	2.1272163274575964	6.508707981157467
95000	-68.12925261377134	-67.6296725167956	-0.4995800969757509	-67.6296725167956	0.1649579507312962	-0.4995800969757509	17.204903751696726
96000	-68.24736196937866	-68.81217483976823	0.5648128703895678	-68.81217483976823	0.21685072665080624	0.5648128703895678	7.103269327376782
97000	-67.95532158622788	-68.45639025071458	0.5010686644866915	-68.45639025071458	0.15668708278986349	0.5010686644866915	15.190898191657787
98000	-65.43076958408886	-67.08093687475764	1.6501672906687692	-67.08093687475764	0.18189705242072685	1.6501672906687692	2.827677871285184
99000	-65.3288942046295	-67.04800358779069	1.7191093831611783	-67.04800358779069	0.18003150453810693	1.7191093831611783	9.141116276226287
100000	-65.81574269865952	-67.6891681682998	1.8734254696402746	-67.6891681682998	0.18477764822017825	1.8734254696402746	3.1874736174455887
101000	-66.04320088373267	-67.0804471408517	1.037246257119039	-67.0804471408517	0.15274535545141488	1.037246257119039	1.844031292397651
102000	-64.49825412665592	-67.75587780196769	3.257623675311763	-67.75587780196769	0.12755431475540074	3.257623675311763	12.263185140800067
103000	-65.6594998503946	-67.29546206632955	1.6359622159349505	-67.29546206632955	0.20673789582236246	1.6359622159349505	6.275314778002676
104000	-65.72915470203681	-68.47116108745475	2.742006385417931	-68.47116108745475	0.11729673100778111	2.742006385417931	14.44277536596859
105000	-64.9737190264916	-67.62616632511346	2.6524472986218592	-67.62616632511346	0.11012569750479356	2.6524472986218592	16.63738714889708
106000	-65.21081876757844	-68.04536026441029	2.8345414968318403	-68.04536026441029	0.12427028649755253	2.8345414968318403	6.700050998480422
107000	-64.38013850447443	-67.91902751774934	3.538889013274913	-67.91902751774934	0.10191357887644131	3.538889013274913	13.587003271226301
108000	-65.38620698960958	-68.21724510627575	2.8310381166661815	-68.21724510627575	0.17319438020908248	2.8310381166661815	7.311415939714486
