#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-92.35243807184649	-86.29969770075108	-6.052740371095415	-86.29969770075108	2.703200265106253	-6.052740371095415	1.0
1000	-68.39045111711378	-68.52726019418634	0.1368090770725489	-68.52726019418634	0.11986828565532731	0.1368090770725489	1.2529701398210302
2000	-69.55870575066885	-69.72479906548978	0.1660933148209225	-69.72479906548978	0.2777008955847684	0.1660933148209225	1.9780651279235542
3000	-65.5648825012882	-67.14785123755891	1.5829687362707126	-67.14785123755891	0.13554463150518092	1.5829687362707126	2.340772732673559
4000	-65.14404826781657	-67.20946193244393	2.0654136646273566	-67.20946193244393	0.19188706536023403	2.0654136646273566	4.446968722746163
5000	-69.47516571074078	-68.78911224061163	-0.6860534701291492	-68.78911224061163	0.2981804798731714	-0.6860534701291492	7.1570503175763935
6000	-65.39694193122831	-67.93439231085277	2.537450379624453	-67.93439231085277	0.1367509196910139	2.537450379624453	12.637396485039085
7000	-66.92327931957223	-69.6984242465757	2.7751449270034696	-69.6984242465757	0.12687166746549772	2.7751449270034696	4.004731610139665
8000	-65.77769665877415	-69.96632720325097	4.18863054447682	-69.96632720325097	0.08740489147906164	4.18863054447682	10.400806090090121
9000	-64.50844184963401	-67.37878609900571	2.870344249371694	-67.37878609900571	0.14817052249111923	2.870344249371694	9.644648546449012
10000	-64.7483075521394	-68.08807409864636	3.3397665465069597	-68.08807409864636	0.11118663382372648	3.3397665465069597	10.015803915759696
11000	-70.41235723342908	-67.0796556926927	-3.332701540736383	-67.0796556926927	0.17070856060551964	-3.332701540736383	24.773396066601045
12000	-66.2792900101381	-69.06516937621697	2.7858793660788796	-69.06516937621697	0.13760409675232668	2.7858793660788796	4.985193942959188
13000	-65.74031167997589	-69.27870064740698	3.5383889674310955	-69.27870064740698	0.13704617334608413	3.5383889674310955	7.784063766671302
14000	-68.09905909237573	-68.90145445720542	0.8023953648296862	-68.90145445720542	0.15628530249274586	0.8023953648296862	19.536933623400362
15000	-66.20483049139695	-70.76268320945847	4.55785271806152	-70.76268320945847	0.06671539332056889	4.55785271806152	20.47975983206705
16000	-64.83640033912884	-69.40847190491534	4.572071565786508	-69.40847190491534	0.07167735952749285	4.572071565786508	12.773735819588182
17000	-64.3753844958729	-67.88673215116292	3.5113476552900273	-67.88673215116292	0.1010144942124932	3.5113476552900273	14.483668865599594
18000	-67.61923945433904	-68.86939500489933	1.2501555505602902	-68.86939500489933	0.18953427873696302	1.2501555505602902	8.806174115712528
19000	-65.51258772397635	-67.52987466290514	2.017286938928795	-67.52987466290514	0.20316148822356578	2.017286938928795	5.47590019469323
20000	-65.93650786488459	-68.98179476045817	3.045286895573578	-68.98179476045817	0.08059886849093532	3.045286895573578	3.820374986447981
21000	-66.0599280209962	-67.81157371406614	1.7516456930699522	-67.81157371406614	0.14854836464667612	1.7516456930699522	2.7127767005835404
22000	-68.4636387928552	-68.47477853634382	0.011139743488615073	-68.47477853634382	0.16108786166031547	0.011139743488615073	1.2835338844695852
23000	-69.58773645336233	-69.2419449738302	-0.34579147953212247	-69.2419449738302	0.30517560246914216	-0.34579147953212247	1.3104931486508031
24000	-66.17504221473297	-68.60050770803599	2.4254654933030237	-68.60050770803599	0.1487630462999725	2.4254654933030237	4.535250394105129
25000	-68.75105014711136	-69.9165290178146	1.1654788707032382	-69.9165290178146	0.1605084335016801	1.1654788707032382	2.026047466726827
26000	-67.30103279283891	-70.23883259774017	2.937799804901258	-70.23883259774017	0.09240289827734617	2.937799804901258	3.866289163361128
27000	-66.19252592259065	-70.77177521508719	4.579249292496545	-70.77177521508719	0.0744231958956197	4.579249292496545	10.57012567224062
28000	-67.28485703559363	-68.51932201020516	1.2344649746115302	-68.51932201020516	0.16630703418751688	1.2344649746115302	2.253177878347832
29000	-66.24925895268719	-67.43858343524269	1.1893244825555103	-67.43858343524269	0.2583095216357208	1.1893244825555103	5.61149590795902
