#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-93.32698550174965	-90.45598307798856	-2.8710024237610874	-90.45598307798856	1.1076778151741393	-2.8710024237610874	1.0
1000	-67.88862522725859	-68.22969898519662	0.3410737579380312	-68.22969898519662	0.23836780452757833	0.3410737579380312	1.7306383242531909
2000	-66.28762147323054	-68.0343155470033	1.7466940737727545	-68.0343155470033	0.2182146314373999	1.7466940737727545	3.425511796642827
3000	-67.59787129229849	-69.44026731851945	1.8423960262209516	-69.44026731851945	0.1471879135212426	1.8423960262209516	3.4324176548451866
4000	-65.13128271840772	-67.53343630572877	2.402153587321056	-67.53343630572877	0.12321479654977024	2.402153587321056	3.3145238461966087
5000	-65.35978836218968	-67.35279057601777	1.99300221382809	-67.35279057601777	0.16285100831755397	1.99300221382809	7.745263311673628
6000	-70.11997014967642	-68.8161617428905	-1.3038084067859241	-68.8161617428905	0.21057970193623018	-1.3038084067859241	14.596902525148753
7000	-66.48428572093249	-67.93361220586632	1.4493264849338319	-67.93361220586632	0.17362479447445128	1.4493264849338319	7.97349459209921
8000	-66.71580081830717	-69.01364437424553	2.297843555938356	-69.01364437424553	0.20443581903394864	2.297843555938356	8.39647271844659
9000	-67.56586271743132	-69.6037232162053	2.0378604987739837	-69.6037232162053	0.20310786847904172	2.0378604987739837	5.645117766308226
10000	-67.48987684711746	-69.12271371192647	1.6328368648090086	-69.12271371192647	0.16920918074165195	1.6328368648090086	5.964338973995276
11000	-67.4172450607477	-68.89837563010934	1.4811305693616323	-68.89837563010934	0.18229583281762465	1.4811305693616323	8.018065232362508
12000	-67.74170788680071	-68.91476555041001	1.1730576636092949	-68.91476555041001	0.2276761783244051	1.1730576636092949	3.47357292386454
13000	-65.31620895155172	-70.11882636508133	4.802617413529615	-70.11882636508133	0.06724693856051794	4.802617413529615	10.244172594756254
14000	-65.00633174436403	-69.88613896306056	4.879807218696527	-69.88613896306056	0.06458095420079445	4.879807218696527	11.74922663241164
15000	-64.67394472067568	-67.92122174837364	3.2472770276979617	-67.92122174837364	0.10576240369505649	3.2472770276979617	14.587978982148384
16000	-65.52820239142706	-67.41932516593562	1.8911227745085566	-67.41932516593562	0.12832532199215088	1.8911227745085566	2.6534062965007306
17000	-65.33332354116163	-67.50840367840172	2.1750801372400894	-67.50840367840172	0.1605732984844932	2.1750801372400894	9.074379796875082
18000	-66.6430781687802	-69.51786721971638	2.874789050936172	-69.51786721971638	0.1353003737772327	2.874789050936172	10.272488099693252
19000	-64.97070174684451	-68.54743900555475	3.576737258710235	-68.54743900555475	0.09183522898825387	3.576737258710235	14.153669134380024
20000	-68.55237671938542	-68.90740863669204	0.35503191730661854	-68.90740863669204	0.3528943192192646	0.35503191730661854	4.488246713006774
21000	-64.02554588758858	-67.48982107366804	3.4642751860794596	-67.48982107366804	0.11784458209203552	3.4642751860794596	8.946406526454965
22000	-67.26200991065944	-69.34381481662174	2.0818049059623016	-69.34381481662174	0.10022426174479293	2.0818049059623016	23.294267588277993
23000	-66.26597775163314	-68.04139212912918	1.7754143774960292	-68.04139212912918	0.1715362588468061	1.7754143774960292	7.608968663455537
24000	-65.98439222600113	-67.24006629963047	1.2556740736293408	-67.24006629963047	0.20082297048065867	1.2556740736293408	7.847424795380786
25000	-65.51681615783787	-67.20685816183297	1.6900420039950985	-67.20685816183297	0.1940005462716722	1.6900420039950985	6.314709120659853
26000	-66.50151641048289	-68.19474119495166	1.693224784468768	-68.19474119495166	0.1786021219777425	1.693224784468768	4.367898090058451
27000	-64.56794334602519	-67.09226791790078	2.524324571875593	-67.09226791790078	0.14495993172468205	2.524324571875593	8.879514828034813
28000	-65.3667352653566	-67.11017498013513	1.7434397147785288	-67.11017498013513	0.15396006306860854	1.7434397147785288	2.7798278142859525
29000	-66.22612769453013	-68.7213044130389	2.4951767185087546	-68.7213044130389	0.13756943661173113	2.4951767185087546	3.4260860882398885
30000	-65.1491804713939	-67.08159067161591	1.9324102002220078	-67.08159067161591	0.18741572348476926	1.9324102002220078	6.067885963383655
31000	-65.05307026442355	-67.3128045212932	2.2597342568696464	-67.3128045212932	0.19004331275845493	2.2597342568696464	7.84084514226426
32000	-65.11626258055372	-67.1770102615384	2.0607476809846714	-67.1770102615384	0.16740937741425513	2.0607476809846714	9.523963847074608
33000	-65.90061629508827	-68.84307266967099	2.94245637458272	-68.84307266967099	0.1211463535530919	2.94245637458272	10.988400957789278
34000	-66.65190109831146	-67.36582168364237	0.7139205853309054	-67.36582168364237	0.2475169816064672	0.7139205853309054	7.780437704596466
35000	-65.54265879951751	-69.49170438465993	3.9490455851424073	-69.49170438465993	0.07489688003445488	3.9490455851424073	21.32611229228763
36000	-67.2172024030591	-71.44353137587515	4.226328972816049	-71.44353137587515	0.07907886638570458	4.226328972816049	8.305043988050121
37000	-66.60138062680346	-71.25676466470453	4.655384037901065	-71.25676466470453	0.09421364823899986	4.655384037901065	9.9021763669376
38000	-66.81840367162633	-66.99164255742498	0.17323888579864644	-66.99164255742498	0.17060553376591672	0.17323888579864644	16.88690802279709
39000	-64.76526073273831	-68.04267044248299	3.27740970974467	-68.04267044248299	0.10915760437267688	3.27740970974467	16.280820669107662
40000	-65.99540845974232	-68.91199544145469	2.9165869817123724	-68.91199544145469	0.1308150377084471	2.9165869817123724	5.789368158232699
41000	-66.34340656309605	-70.05077352222935	3.7073669591333003	-70.05077352222935	0.07743515761954863	3.7073669591333003	22.09114936936723
42000	-65.28765965232144	-67.79336748957256	2.5057078372511263	-67.79336748957256	0.13736521407029623	2.5057078372511263	4.321142538522296
43000	-66.09340598697335	-68.17882227546818	2.0854162884948213	-68.17882227546818	0.1625604423641091	2.0854162884948213	5.533841144920273
44000	-65.72239339920266	-69.2842872275776	3.5618938283749317	-69.2842872275776	0.09263212142859951	3.5618938283749317	8.279034847234081
45000	-64.85252942114079	-67.95508433901135	3.1025549178705703	-67.95508433901135	0.11584430668396255	3.1025549178705703	6.4984667737191515
46000	-65.43108988012261	-68.70964085099607	3.278550970873459	-68.70964085099607	0.10909893857221101	3.278550970873459	10.74201342375209
47000	-65.81958536388228	-69.1865885730946	3.3670032092123092	-69.1865885730946	0.10360243367538141	3.3670032092123092	7.779246480543231
48000	-64.38877976875902	-67.59987841765313	3.2110986488941036	-67.59987841765313	0.11652404036301911	3.2110986488941036	10.862600003675668
49000	-72.0170761625807	-71.43224482370795	-0.5848313388727404	-71.43224482370795	0.2847225947058887	-0.5848313388727404	7.361913443998506
50000	-65.83570893155961	-68.00047710254856	2.1647681709889475	-68.00047710254856	0.11732724969384115	2.1647681709889475	2.7598883041765414
51000	-66.86083700881059	-67.53379299119382	0.6729559823832245	-67.53379299119382	0.26143265987083764	0.6729559823832245	2.049589830158096
52000	-68.31157899997109	-69.6925398149318	1.3809608149607127	-69.6925398149318	0.28092095292503966	1.3809608149607127	6.891165661200195
53000	-64.79280995495459	-67.22727629882799	2.4344663438733996	-67.22727629882799	0.16086952109168773	2.4344663438733996	4.736499852091806
54000	-68.49783130938935	-69.0010064572291	0.5031751478397442	-69.0010064572291	0.3670490672928441	0.5031751478397442	2.552588251696949
55000	-69.8682059052176	-67.8212514092918	-2.0469544959257826	-67.8212514092918	0.20913349598056719	-2.0469544959257826	19.985185041609228
56000	-66.99150529596338	-68.11626025333919	1.1247549573758147	-68.11626025333919	0.2205296039487268	1.1247549573758147	2.5171590710720326
57000	-64.77006564819007	-67.60802431502297	2.8379586668328987	-67.60802431502297	0.11245329568877312	2.8379586668328987	15.275841802837855
58000	-66.90087077957764	-69.23262368081863	2.3317529012409937	-69.23262368081863	0.121576032015493	2.3317529012409937	15.69769684517619
59000	-64.74171129402127	-67.57899495868298	2.8372836646617117	-67.57899495868298	0.13748527320572057	2.8372836646617117	4.497475418946527
60000	-65.54857628803795	-67.50461880473244	1.9560425166944997	-67.50461880473244	0.12305234193190127	1.9560425166944997	19.133150494693247
61000	-65.58930798840107	-67.85158192140688	2.262273933005806	-67.85158192140688	0.17376701554075535	2.262273933005806	6.817857973288083
62000	-66.8362310274322	-70.6898702058319	3.853639178399682	-70.6898702058319	0.09767813140998392	3.853639178399682	14.071965897380487
63000	-66.38022410532122	-67.56690820564367	1.1866841003224513	-67.56690820564367	0.17582170889781315	1.1866841003224513	2.3329855281283525
64000	-66.00832580462958	-67.33093842051669	1.3226126158871114	-67.33093842051669	0.22558635624434925	1.3226126158871114	6.276042436374009
65000	-66.33434559442497	-67.97053522005999	1.6361896256350064	-67.97053522005999	0.20167097153789074	1.6361896256350064	8.725258068757888
66000	-65.12823855013893	-66.94151651928547	1.8132779691465455	-66.94151651928547	0.18600107454228	1.8132779691465455	8.143349132837553
