#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-99.58225588675556	-92.61203813564941	-6.970217751106153	-92.61203813564941	2.9315424376116423	-6.970217751106153	1.0
1000	-68.76971673060872	-67.93807075345724	-0.8316459771514779	-67.93807075345724	0.2706841391368164	-0.8316459771514779	0.941639711810514
2000	-67.34382263036203	-69.18529044425341	1.8414678138913785	-69.18529044425341	0.1922643843452985	1.8414678138913785	6.254099291494658
3000	-71.02777218846396	-72.34603827790355	1.3182660894395877	-72.34603827790355	0.2094650280992914	1.3182660894395877	15.07271980013225
4000	-64.74127807083474	-67.7054330754417	2.9641550046069725	-67.7054330754417	0.12296230558192073	2.9641550046069725	11.764836684159206
5000	-64.99083671115335	-67.0644625373887	2.0736258262353644	-67.0644625373887	0.17994889083008142	2.0736258262353644	5.97176063432221
6000	-65.38334597866691	-68.14850038405535	2.7651544053884485	-68.14850038405535	0.10451817685250515	2.7651544053884485	15.990482789580314
7000	-69.37540598503081	-68.0981861258472	-1.2772198591835986	-68.0981861258472	0.26236281346686846	-1.2772198591835986	12.664891760519815
8000	-66.53670526731278	-67.311345335556	0.7746400682432197	-67.311345335556	0.12493724130184823	0.7746400682432197	21.94164300632873
9000	-66.04561998028011	-68.41007173886265	2.3644517585825526	-68.41007173886265	0.13905052756337583	2.3644517585825526	13.657840855393015
10000	-65.69292325081925	-68.22205805961747	2.5291348087982164	-68.22205805961747	0.1337398768775316	2.5291348087982164	7.491346527660617
11000	-64.94638550732012	-67.37736581232873	2.430980305008614	-67.37736581232873	0.16269345783165948	2.430980305008614	4.91836297355567
12000	-67.90051030915829	-68.98278921674398	1.0822789075856942	-68.98278921674398	0.23160015037640364	1.0822789075856942	3.081179621919159
13000	-67.21892665525534	-69.0732353615335	1.8543087062781596	-69.0732353615335	0.19301390529533824	1.8543087062781596	9.369930035111295
14000	-64.4046442037816	-68.43144655602467	4.0268023522430685	-68.43144655602467	0.10571741375849945	4.0268023522430685	11.177965967047216
15000	-65.05810287522924	-66.97341902279123	1.9153161475619984	-66.97341902279123	0.1944345700496027	1.9153161475619984	5.962159427657705
16000	-65.63591818742246	-68.53834099051912	2.9024228030966563	-68.53834099051912	0.12351722272513775	2.9024228030966563	9.736244170275087
17000	-68.7229362617961	-69.51669430829935	0.7937580465032523	-69.51669430829935	0.282148914695819	0.7937580465032523	2.1717974842106247
18000	-66.29506651463603	-68.47594225484283	2.180875740206801	-68.47594225484283	0.1471312904916615	2.180875740206801	4.0020307274918965
19000	-67.99967628371377	-68.43451342762654	0.4348371439127756	-68.43451342762654	0.32287618337178725	0.4348371439127756	2.2450837286124155
20000	-64.90978873932623	-66.93917788055882	2.029389141232586	-66.93917788055882	0.1903986697604555	2.029389141232586	5.473910449089225
21000	-65.98863714041813	-69.61039058021628	3.6217534397981455	-69.61039058021628	0.10366348012919563	3.6217534397981455	20.1134729601434
22000	-65.42346166227493	-68.7049137870402	3.2814521247652655	-68.7049137870402	0.0952355800321562	3.2814521247652655	5.505643137436953
23000	-64.68742923354853	-67.4516594776018	2.7642302440532682	-67.4516594776018	0.13468124299284612	2.7642302440532682	6.445153847205901
24000	-66.11061184889377	-68.58087981618044	2.4702679672866723	-68.58087981618044	0.12839225766736617	2.4702679672866723	8.529097361377755
25000	-64.54817897661793	-67.81856371520894	3.2703847385910065	-67.81856371520894	0.13152139912456182	3.2703847385910065	10.03820733758915
26000	-68.718465615564	-72.2245419701487	3.506076354584711	-72.2245419701487	0.08829433764039712	3.506076354584711	24.485411022418017
27000	-66.88409098149589	-71.37151457169372	4.487423590197835	-71.37151457169372	0.07079501858780203	4.487423590197835	21.602613473429518
28000	-67.58801529827217	-67.84923819632992	0.2612228980577518	-67.84923819632992	0.27708296855845305	0.2612228980577518	7.033168124600976
29000	-66.87828828032592	-68.84558138563231	1.9672931053064016	-68.84558138563231	0.18565536400011376	1.9672931053064016	4.98287593656943
30000	-64.3496296463284	-67.67917318814342	3.329543541815029	-67.67917318814342	0.11980381677484754	3.329543541815029	8.46842455605283
31000	-66.27228157230503	-67.85627654717315	1.583994974868117	-67.85627654717315	0.2584990703833977	1.583994974868117	5.1479176088988305
32000	-64.6637482933807	-67.02387319152147	2.360124898140774	-67.02387319152147	0.1797983104131963	2.360124898140774	6.55959517127511
33000	-66.87971157542157	-68.29813803773727	1.4184264623157068	-68.29813803773727	0.18583139180943953	1.4184264623157068	3.2592500576158203
34000	-64.66426669929643	-67.37344904728968	2.7091823479932415	-67.37344904728968	0.14969691561217852	2.7091823479932415	7.099545182848578
35000	-65.27304271057304	-67.44826302769548	2.175220317122437	-67.44826302769548	0.1465517912103367	2.175220317122437	3.806350984757674
36000	-65.44340813736764	-68.3972367736429	2.953828636275267	-68.3972367736429	0.09009364070062831	2.953828636275267	3.744062290497395
37000	-66.14250354930543	-67.28890627135868	1.1464027220532582	-67.28890627135868	0.2338360286815801	1.1464027220532582	6.82316933270378
38000	-66.49205463016439	-73.09171989386775	6.599665263703359	-73.09171989386775	0.04464225147853777	6.599665263703359	25.060852047295693
39000	-69.62691356494808	-69.76282067485919	0.13590710991110488	-69.76282067485919	0.3511718957161912	0.13590710991110488	2.083613381216792
40000	-69.01603523753803	-70.26244234940737	1.246407111869329	-70.26244234940737	0.27130163690559833	1.246407111869329	4.34482918463468
41000	-65.78150574830804	-68.09831573921686	2.3168099909088165	-68.09831573921686	0.1419479132307493	2.3168099909088165	4.926345983840557
42000	-67.2196952236663	-70.04447948844319	2.824784264776876	-70.04447948844319	0.11778172954787237	2.824784264776876	4.9543833196390255
43000	-64.36348842510895	-68.58346533984295	4.219976914733991	-68.58346533984295	0.09784441330527976	4.219976914733991	12.01810914550564
44000	-65.06200451235811	-67.180019085315	2.1180145729568873	-67.180019085315	0.1906056617140476	2.1180145729568873	8.286559002199635
45000	-65.41284176374587	-67.84581386414706	2.43297210040119	-67.84581386414706	0.10361706383309992	2.43297210040119	3.107244015790294
46000	-65.98057096528011	-67.4201932996754	1.4396223343952976	-67.4201932996754	0.21032116361813757	1.4396223343952976	2.639716816380894
47000	-67.82439484758972	-69.33496065085018	1.510565803260468	-69.33496065085018	0.2015443609550886	1.510565803260468	3.375158522055514
48000	-64.60763062226827	-69.03559874751275	4.427968125244476	-69.03559874751275	0.07686656406482888	4.427968125244476	18.570605332077214
49000	-64.55663341225208	-67.0863150836495	2.5296816713974106	-67.0863150836495	0.15039119988185487	2.5296816713974106	5.853766350748653
50000	-65.9847602469234	-67.50529879195001	1.5205385450266053	-67.50529879195001	0.15088076699601602	1.5205385450266053	11.556785903121016
51000	-64.91331965515266	-68.08257248460511	3.169252829452449	-68.08257248460511	0.10222292340199665	3.169252829452449	16.22259284739299
52000	-67.32324621124124	-67.7378066947424	0.4145604835011696	-67.7378066947424	0.21405089092601026	0.4145604835011696	1.6265240569881598
53000	-66.04016229120647	-68.81352684921447	2.7733645580079997	-68.81352684921447	0.12904186141613627	2.7733645580079997	6.88566709185891
54000	-66.2629110906039	-67.33220431766084	1.0692932270569457	-67.33220431766084	0.1414391035739823	1.0692932270569457	17.93759984140304
