Sample	indicators1	indicators2	indicators3	indicators4	indicators5
0	0	0	0	0	0
10	0	0	0	0	0
20	0	0	0	1	1
30	0	0	0	1	0
40	0	0	0	0	0
50	0	0	0	0	0
60	1	0	1	0	1
70	1	1	0	1	1
80	1	1	0	0	0
90	1	1	1	1	1
100	1	1	1	1	1
110	0	0	0	0	0
120	0	0	0	0	0
130	1	1	1	1	1
140	1	0	1	1	1
150	1	1	1	1	1
160	0	1	1	0	0
170	0	1	0	1	1
180	0	0	0	0	1
190	1	0	1	0	0
200	1	0	0	0	0
210	0	0	0	0	0
220	0	0	0	0	1
230	1	0	0	1	0
240	0	1	0	0	0
250	0	1	1	1	1
260	1	1	1	1	0
270	1	1	0	1	1
280	1	1	1	1	1
290	0	1	1	1	1
300	0	0	1	0	0
310	0	0	1	1	1
320	1	1	1	1	1
330	1	0	1	1	1
340	1	1	0	1	1
350	0	0	1	0	0
360	0	0	0	1	0
370	0	1	1	1	0
380	0	1	1	1	1
390	1	1	1	0	1
400	1	1	0	1	1
410	1	1	1	1	1
420	1	1	1	1	1
430	1	1	0	1	0
440	0	1	1	1	0
450	0	0	0	0	1
460	0	1	1	1	0
470	1	0	1	1	0
480	1	0	0	0	0
490	1	0	0	1	1
500	0	1	1	1	1
510	1	0	1	0	1
520	0	0	1	0	0
530	0	0	0	0	0
540	0	0	0	1	0
550	0	0	0	0	0
560	0	1	0	1	0
570	1	1	0	1	1
580	1	0	1	1	1
590	0	0	0	0	0
600	0	0	0	0	0
610	1	1	1	1	1
620	1	0	0	1	1
630	0	0	0	0	0
640	0	1	0	1	0
650	1	0	1	1	1
660	1	1	0	0	1
670	0	1	1	1	0
680	1	0	0	1	1
690	0	1	0	0	0
700	0	0	1	0	0
710	0	0	0	1	0
720	1	1	1	1	1
730	1	1	0	0	1
740	1	1	0	0	1
750	1	0	1	0	0
760	0	0	0	0	0
770	0	0	0	0	0
780	0	0	0	0	0
790	0	0	0	0	0
800	0	0	0	0	0
810	1	0	1	0	1
820	1	1	1	1	0
830	1	0	0	0	1
840	1	1	1	1	1
850	1	1	0	0	1
860	0	1	1	1	1
870	0	0	1	1	0
880	1	0	0	0	0
890	0	0	0	0	0
900	0	0	0	0	1
910	0	0	0	0	0
920	0	0	0	0	0
930	0	0	0	0	0
940	0	1	0	0	0
950	1	1	0	0	1
960	1	1	1	1	1
